deck_a_archetype,deck_b_archetype,pred_win_prob,matchups
6,6,0.5000290452468316,8906
0,0,0.5000431702397218,8252
6,0,0.5729505197581656,8225
0,6,0.42711383867786484,8225
3,0,0.4702905156721227,5670
0,3,0.5297913321152996,5670
6,3,0.5236141902471473,5268
3,6,0.4764539825543655,5268
4,0,0.454031806874605,4260
0,4,0.5460508971154369,4260
3,3,0.500049371138275,4186
1,1,0.5000525711979986,4020
6,4,0.5111645104850268,3998
4,6,0.48890488098966595,3998
0,7,0.5299058406192837,3954
7,0,0.4701782018905679,3954
6,7,0.5543219253776173,3727
7,6,0.4457463056883487,3727
1,0,0.3593993045714027,3697
0,1,0.6406841280411901,3697
3,1,0.5702943065016219,3154
1,3,0.42980330760417546,3154
4,3,0.5061863358626134,2979
3,4,0.49390207913789075,2979
7,3,0.5017423131926935,2932
3,7,0.498348486463232,2932
2,0,0.4030787525204886,2885
0,2,0.5970029317838873,2885
0,5,0.5853430804581246,2771
5,0,0.4147411404559404,2771
6,2,0.5851403187844859,2648
2,6,0.41493006292899326,2648
6,1,0.607314923153284,2642
1,6,0.3927592958213993,2642
4,4,0.5000459434171417,2630
1,4,0.4250364798019365,2557
4,1,0.5750548099319333,2557
1,7,0.4149865569634472,2278
7,1,0.5851065477462959,2278
6,5,0.5918877567914027,2203
5,6,0.4081825038527094,2203
4,7,0.5232075053914942,2171
7,4,0.47687916972744354,2171
2,3,0.4487041685942994,2130
3,2,0.5513861701994894,2130
2,1,0.5081461112824718,2126
1,2,0.4919503877898809,2126
7,7,0.5000475395573666,2042
3,5,0.5170085842453956,2037
5,3,0.48308638388647085,2037
1,5,0.42825955301643664,1972
5,1,0.5718370436373338,1972
4,2,0.5757329409361974,1808
2,4,0.42435464718343385,1808
5,4,0.46684370112748586,1524
4,5,0.5332430656576741,1524
5,7,0.46009879007028,1504
7,5,0.5399912973843336,1504
7,2,0.5586803406273736,1444
2,7,0.4414083842124471,1444
2,2,0.5000479344887045,1310
5,5,0.5000502237122342,1274
2,5,0.45811749451295974,1126
5,2,0.5419736672348289,1126
