deck_a_archetype,deck_b_archetype,win_rate,matchups
0,0,0.5,42394
6,6,0.5,41638
6,0,0.5366567472516662,40661
0,6,0.46334325274833377,40661
3,0,0.4688101992924941,28551
0,3,0.5311898007075059,28551
6,3,0.5331875683273466,25612
3,6,0.46681243167265346,25612
4,0,0.4602561222197259,22255
0,4,0.5397438777802741,22255
3,3,0.5,21194
1,1,0.5,19940
6,4,0.5285635052689961,19833
4,6,0.4714364947310039,19833
0,1,0.6274561036789298,19136
1,0,0.3725438963210702,19136
7,0,0.46708015267175573,18864
0,7,0.5329198473282443,18864
7,6,0.4566693520543216,17378
6,7,0.5433306479456784,17378
1,3,0.41154700222057733,16212
3,1,0.5884529977794226,16212
3,4,0.4887242062224494,15653
4,3,0.5112757937775506,15653
2,0,0.4163322632423756,14952
0,2,0.5836677367576244,14952
3,7,0.5149496850792732,13813
7,3,0.48505031492072687,13813
0,5,0.5724942062572422,13808
5,0,0.4275057937427578,13808
4,4,0.5,13734
4,1,0.5900184842883549,13525
1,4,0.4099815157116451,13525
6,1,0.6182156133828997,13450
1,6,0.38178438661710035,13450
6,2,0.5732503888024884,12860
2,6,0.42674961119751165,12860
6,5,0.5876396648044693,11456
5,6,0.4123603351955307,11456
7,1,0.5976907811654338,11086
1,7,0.4023092188345661,11086
2,1,0.5113163972286374,10825
1,2,0.4886836027713626,10825
3,2,0.5540027764923646,10805
2,3,0.4459972235076354,10805
4,7,0.5356098481275351,10601
7,4,0.46439015187246485,10601
5,3,0.47861468584405753,10568
3,5,0.5213853141559425,10568
5,1,0.5787745047726572,9743
1,5,0.4212254952273427,9743
2,4,0.43573999576540334,9446
4,2,0.5642600042345967,9446
7,7,0.5,9268
5,4,0.458031746031746,7875
4,5,0.541968253968254,7875
7,2,0.5553322615219721,7464
2,7,0.4446677384780279,7464
7,5,0.5638414969730324,7268
5,7,0.4361585030269675,7268
2,2,0.5,6938
5,5,0.5,6098
5,2,0.5280800280800281,5698
2,5,0.4719199719199719,5698
