bin_start,bin_end,count
-51.0,-47.875,1
-47.875,-44.75,4
-44.75,-41.625,3
-41.625,-38.5,7
-38.5,-35.375,22
-35.375,-32.25,21
-32.25,-29.125,46
-29.125,-26.0,74
-26.0,-22.875,156
-22.875,-19.75,217
-19.75,-16.625,506
-16.625,-13.5,1233
-13.5,-10.375,3125
-10.375,-7.25,7557
-7.25,-4.125,16233
-4.125,-1.0,43441
-1.0,2.125,323774
2.125,5.25,44072
5.25,8.375,24916
8.375,11.5,14749
11.5,14.625,8184
14.625,17.75,4369
17.75,20.875,2438
20.875,24.0,1471
24.0,27.125,1252
27.125,30.25,649
30.25,33.375,534
33.375,36.5,411
36.5,39.625,282
39.625,42.75,135
42.75,45.875,74
45.875,49.0,28
49.0,52.125,8
52.125,55.25,2
55.25,58.375,1
58.375,61.5,2
61.5,64.625,0
64.625,67.75,0
67.75,70.875,1
70.875,74.0,2
