card_a,card_a_name,card_b,card_b_name,total,wins,smoothed_win_rate
26000025,Guards,26000028,Three Musketeers,258,188,0.7269230769230769
26000004,P.E.K.K.A,27000005,Barbarian Hut,463,331,0.7139784946236559
26000060,Goblin Giant,26000083,Mother Witch,1970,1381,0.7008113590263692
26000051,Ram Rider,27000005,Barbarian Hut,264,185,0.6992481203007519
26000054,Cannon Cart,26000085,Electro Giant,315,220,0.6971608832807571
26000003,Giant,26000051,Ram Rider,483,336,0.6948453608247422
26000007,Witch,26000060,Goblin Giant,1112,769,0.6912028725314183
26000003,Giant,26000036,Battle Ram,722,487,0.6740331491712708
26000046,Bandit,27000005,Barbarian Hut,301,203,0.6732673267326733
26000003,Giant,27000005,Barbarian Hut,825,553,0.6698911729141476
